run,conv_gen,champion,coverage,speedup
opt_bg_A,65,1.0,4,115.0896551724138
opt_bg_B,23,74.0,1,303.41818181818184
opt_bg_C,71,10.0,6,107.66451612903226
opt_bg_D,90,41.0,2,82.7504132231405
opt_bg_E,60,4.0,14,126.74430379746835
polar_A,42,1.0,25,168.56565656565655
polar_B,44,4.0,10,160.46153846153845
polar_C,37,1.0,26,192.92485549132948
polar_D,25,156.0,0,268.4396782841823
polar_E,32,1.0,15,211.68710359408033
solv_eng_A,70,1.0,13,110.88372093023256
solv_eng_B,31,2.0,5,219.09846827133478
solv_eng_C,57,3.0,8,127.38931297709924
solv_eng_D,66,2.0,16,113.65266742338252
solv_eng_E,51,30.0,2,139.84357541899442
