,Run Label,Champion,Coverage,Speedup
polar,A,1.0,92,44.521120497999114
polar,B,1.0,91,50.69772151898734
polar,C,1.0,93,36.89314664701548
polar,D,1.0,79,39.82816229116945
polar,E,1.0,84,44.32403718459496
opt_bg,A,1.0,38,29.84441132637854
opt_bg,B,80.0,2,72.92643845593591
opt_bg,C,1.0,39,39.51381215469613
opt_bg,D,32.0,6,38.629629629629626
opt_bg,E,4.0,10,49.25135268076734
solv_eng,A,6.0,24,60.86808510638298
solv_eng,B,1.0,38,79.34072900158479
solv_eng,C,1.0,39,48.39439342677622
solv_eng,D,1.0,45,51.21636828644501
solv_eng,E,1.0,42,44.422360248447205
